State,LGA,LGA_Name,Medication_Type,FY24,FY23,FY22,FY21, ERP , FY24 All , FY23 All , FY22 All , FY21 All , FY24 change ,FY23 Change,FY22 Change, SA2_Code ,SA2_Name,SA3_Code,SA3_Name,SA4_name,GCCSA_NAME_2021
WA,51310,Cambridge,Nervous system,2.38,2.28,2.22,2.13,"30,119","71,683","68,671","66,864","64,153","3,012","1,807","2,711",50301103001,City Beach,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
VIC,22830,Greater Shepparton,Antiinfectives for systemic use,1.04,1.06,0.86,0.83,"68,925","71,682","73,061","59,276","57,208","1,379","13,785","2,068",21603141501,Mooroopna,21603,Shepparton,Shepparton,Rest of Vic.
QLD,36360,Gladstone,Blood and blood forming organs,0.44,0.43,0.38,0.39,"65,302","28,733","28,080","24,815","25,468",653,"3,265",653,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
QLD,33220,Fraser Coast,Sensory organs,0.62,0.59,0.6,0.55,"115,079","71,349","67,897","69,047","63,293","3,452","1,151","5,754",31903151112,Cooloola,31903,Gympie - Cooloola,Wide Bay,Rest of Qld
NSW,14000,Hornsby,Blood and blood forming organs,0.47,0.47,0.45,0.46,"151,747","71,321","71,321","68,286","69,804",0,"3,035","1,517",11501129403,Glenhaven,11501,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney
NSW,14000,Hornsby,Sensory organs,0.47,0.45,0.43,0.43,"151,747","71,321","68,286","65,251","65,251","3,035","3,035",0,11501129403,Glenhaven,11501,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney
VIC,21670,Central Goldfields,Nervous system,5.27,5.13,5.13,4.94,"13,516","71,229","69,337","69,337","66,769","1,892",0,"2,568",20103101601,Maryborough (Vic.),20103,Maryborough - Pyrenees,Ballarat,Rest of Vic.
SA,41060,Charles Sturt,Respiratory system,0.57,0.57,0.56,0.57,"124,864","71,172","71,172","69,924","71,172",0,"1,249","1,249",40401109001,Beverley,40401,Charles Sturt,Adelaide - West,Greater Adelaide
QLD,36360,Gladstone,Genito urinary system and sex hormones,0.33,0.32,0.31,0.32,"65,302","21,550","20,897","20,244","20,897",653,653,653,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
SA,45290,Norwood Payneham and,Alimentary tract and metabolism,1.87,1.8,1.75,1.69,"38,005","71,069","68,409","66,509","64,228","2,660","1,900","2,280",40105101701,Norwood (SA),40105,Norwood - Payneham - St Peters,Adelaide - Central and Hills,Greater Adelaide
QLD,36360,Gladstone,Sensory organs,0.31,0.31,0.28,0.28,"65,302","20,244","20,244","18,285","18,285",0,"1,959",0,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
VIC,26700,Wangaratta,Alimentary tract and metabolism,2.37,2.3,2.17,2.07,"29,903","70,870","68,777","64,890","61,899","2,093","3,887","2,990",20402106601,Wangaratta,20402,Wangaratta - Benalla,Hume,Rest of Vic.
VIC,26610,Swan Hill,Nervous system,3.32,3.31,3.25,3.22,"21,225","70,467","70,255","68,981","68,345",212,"1,274",637,21503140301,Robinvale,21503,Murray River - Swan Hill,North West,Rest of Vic.
NSW,16610,Richmond Valley,Alimentary tract and metabolism,2.97,2.85,2.8,2.71,"23,702","70,395","67,551","66,366","64,232","2,844","1,185","2,133",11201124101,Evans Head,11201,Richmond Valley - Coastal,Richmond - Tweed,Rest of NSW
VIC,24970,Monash,Musculo-skeletal system,0.36,0.35,0.35,0.36,"194,877","70,156","68,207","68,207","70,156","1,949",0,"1,949",20802118001,Hughesdale,20802,Glen Eira,Melbourne - Inner South,Greater Melbourne
VIC,22670,Greater Dandenong,Blood and blood forming organs,0.44,0.44,0.43,0.43,"159,151","70,026","70,026","68,435","68,435",0,"1,592",0,21204131201,Dandenong North,21204,Dandenong,Melbourne - South East,Greater Melbourne
QLD,36360,Gladstone,"Systemic hormonal preparations, excl. sex hormones and insulins",0.25,0.26,0.24,0.24,"65,302","16,326","16,979","15,672","15,672",653,"1,306",0,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
SA,40120,Adelaide Hills,Alimentary tract and metabolism,1.68,1.61,1.52,1.55,"41,411","69,570","66,672","62,945","64,187","2,899","3,727","1,242",40102100301,Adelaide Hills,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
TAS,63010,Huon Valley,Nervous system,3.62,3.51,3.46,3.48,"19,214","69,555","67,441","66,480","66,865","2,114",961,384,60302106908,Bruny Island - Kettering,60302,Huon - Bruny Island,South East,Rest of Tas.
VIC,24650,Melton,Musculo-skeletal system,0.36,0.33,0.33,0.36,"193,155","69,536","63,741","63,741","69,536","5,795",0,"5,795",21304135801,Melton West,21304,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
VIC,21110,Boroondara,Sensory organs,0.41,0.41,0.39,0.37,"169,500","69,495","69,495","66,105","62,715",0,"3,390","3,390",20701114601,Ashburton (Vic.),20701,Boroondara,Melbourne - Inner East,Greater Melbourne
WA,56580,Nedlands,Cardiovascular system,3.02,3.19,3.09,2.94,"22,973","69,378","73,284","70,987","67,541","3,905","2,297","3,446",50301103307,Floreat,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
QLD,37340,Whitsunday,Alimentary tract and metabolism,1.8,1.71,1.65,1.62,"38,506","69,311","65,845","63,535","62,380","3,466","2,310","1,155",31201133701,Bowen,31201,Bowen Basin - North,Mackay - Isaac - Whitsunday,Rest of Qld
VIC,21890,Darebin,Blood and blood forming organs,0.46,0.45,0.45,0.46,"150,483","69,222","67,717","67,717","69,222","1,505",0,"1,505",20602111001,Alphington - Fairfield,20602,Darebin - South,Melbourne - Inner,Greater Melbourne
VIC,21890,Darebin,Respiratory system,0.46,0.48,0.47,0.47,"150,483","69,222","72,232","70,727","70,727","3,010","1,505",0,20602111001,Alphington - Fairfield,20602,Darebin - South,Melbourne - Inner,Greater Melbourne
QLD,36360,Gladstone,Antineoplastic and immunomodulating agents,0.24,0.17,0.14,0.13,"65,302","15,672","11,101","9,142","8,489","4,571","1,959",653,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
VIC,26980,Whitehorse,Respiratory system,0.4,0.44,0.39,0.41,"172,466","68,986","75,885","67,262","70,711","6,899","8,623","3,449",20703116101,Blackburn,20703,Whitehorse - West,Melbourne - Inner East,Greater Melbourne
WA,57490,Rockingham,Musculo-skeletal system,0.48,0.47,0.45,0.47,"143,653","68,953","67,517","64,644","67,517","1,437","2,873","2,873",50705118601,Cooloongup,50705,Rockingham,Perth - South West,Greater Perth
QLD,36360,Gladstone,Dermatologicals,0.12,0.12,0.12,0.12,"65,302","7,836","7,836","7,836","7,836",0,0,0,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
VIC,22620,Greater Bendigo,Blood and blood forming organs,0.56,0.54,0.52,0.49,"122,647","68,682","66,229","63,776","60,097","2,453","2,453","3,679",20201101801,Bendigo,20201,Bendigo,Bendigo,Rest of Vic.
WA,51400,Capel,Nervous system,3.61,3.5,3.42,3.4,"19,002","68,597","66,507","64,987","64,607","2,090","1,520",380,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
QLD,36360,Gladstone,"Antiparasitic products, insecticides and repellents",0,0,0,0,"65,302",0,0,0,0,0,0,0,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
NSW,17750,Wagga Wagga,Antiinfectives for systemic use,1,0.98,0.88,0.88,"68,337","68,337","66,970","60,137","60,137","1,367","6,834",0,11303126701,Wagga Wagga - East,11303,Wagga Wagga,Riverina,Rest of NSW
QLD,36360,Gladstone,Various,0,0,0,0,"65,302",0,0,0,0,0,0,0,30803120501,Berserker,30803,Rockhampton,Central Queensland,Rest of Qld
NSW,14500,Ku-ring-gai,Blood and blood forming organs,0.55,0.53,0.49,0.49,"124,172","68,295","65,811","60,844","60,844","2,483","4,967",0,12103140701,Gordon - Killara,12103,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney
WA,50350,Bassendean,Cardiovascular system,4.11,4.27,4.24,4.19,"16,600","68,226","70,882","70,384","69,554","2,656",498,830,50401104401,Bassendean - Eden Hill - Ashfield,50401,Bayswater - Bassendean,Perth - North East,Greater Perth
NSW,16380,Port Macquarie-Hasti,Blood and blood forming organs,0.77,0.77,0.72,0.71,"88,311","67,999","67,999","63,584","62,701",0,"4,416",883,10804116201,Laurieton - Bonny Hills,10804,Port Macquarie,Mid North Coast,Rest of NSW
NSW,16950,Shoalhaven,Sensory organs,0.62,0.6,0.59,0.6,"109,611","67,959","65,767","64,670","65,767","2,192","1,096","1,096",11401127201,Berry - Kangaroo Valley,11401,Shoalhaven,Southern Highlands and Shoalhaven,Rest of NSW
QLD,33960,Ipswich,Genito urinary system and sex hormones,0.28,0.27,0.29,0.29,"242,653","67,943","65,516","70,369","70,369","2,427","4,853",0,31002128201,Rosewood,31002,Ipswich Hinterland,Ipswich,Greater Brisbane
QLD,36910,Toowoomba,Genito urinary system and sex hormones,0.38,0.37,0.37,0.36,"178,399","67,792","66,008","66,008","64,224","1,784",0,"1,784",30702117901,Crows Nest - Rosalie,30702,Darling Downs - East,Darling Downs - Maranoa,Rest of Qld
NSW,17420,The Hills,Respiratory system,0.34,0.35,0.34,0.35,"199,244","67,743","69,735","67,743","69,735","1,992","1,992","1,992",11501129001,Baulkham Hills - East,11501,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,Greater Sydney
SA,47980,Unley,Alimentary tract and metabolism,1.73,1.67,1.59,1.54,"39,082","67,612","65,267","62,140","60,186","2,345","3,127","1,954",40107102301,Goodwood - Millswood,40107,Unley,Adelaide - Central and Hills,Greater Adelaide
NSW,17550,Tweed,Respiratory system,0.69,0.73,0.74,0.71,"97,969","67,599","71,517","72,497","69,558","3,919",980,"2,939",11203125001,Kingscliff - Fingal Head,11203,Tweed Valley,Richmond - Tweed,Rest of NSW
NSW,17150,Sutherland,"Systemic hormonal preparations, excl. sex hormones and insulins",0.29,0.28,0.26,0.26,"231,839","67,233","64,915","60,278","60,278","2,318","4,637",0,12703152435,Holsworthy - Wattle Grove,12703,Liverpool,Sydney - South West,Greater Sydney
VIC,23430,Kingston (Vic.),Musculo-skeletal system,0.42,0.42,0.41,0.41,"160,005","67,202","67,202","65,602","65,602",0,"1,600",0,20803118301,Aspendale Gardens - Waterways,20803,Kingston,Melbourne - Inner South,Greater Melbourne
NSW,10650,Berrigan,Cardiovascular system,7.76,7.74,7.54,7.2,"8,653","67,147","66,974","65,244","62,302",173,"1,731","2,942",10903118501,Tocumwal - Finley - Jerilderie,10903,Upper Murray exc. Albury,Murray,Rest of NSW
NSW,16380,Port Macquarie-Hasti,Respiratory system,0.76,0.79,0.77,0.77,"88,311","67,116","69,766","67,999","67,999","2,649","1,766",0,10804116201,Laurieton - Bonny Hills,10804,Port Macquarie,Mid North Coast,Rest of NSW
VIC,24210,Manningham,Blood and blood forming organs,0.53,0.54,0.49,0.49,"126,491","67,040","68,305","61,981","61,981","1,265","6,325",0,20702115601,Bulleen,20702,Manningham - West,Melbourne - Inner East,Greater Melbourne
VIC,24210,Manningham,Sensory organs,0.53,0.55,0.49,0.48,"126,491","67,040","69,570","61,981","60,716","2,530","7,589","1,265",20702115601,Bulleen,20702,Manningham - West,Melbourne - Inner East,Greater Melbourne
SA,43790,Loxton Waikerie,Cardiovascular system,5.62,5.71,5.75,5.6,"11,927","67,030","68,103","68,580","66,791","1,073",477,"1,789",40703116201,Loxton,40703,Murray and Mallee,South Australia - South East,Rest of SA
NSW,11300,Burwood,Alimentary tract and metabolism,1.64,1.58,1.53,1.51,"40,832","66,964","64,515","62,473","61,656","2,450","2,042",817,12003139301,Croydon Park - Enfield,12003,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney
TAS,65810,West Tamar,Alimentary tract and metabolism,2.57,2.45,2.29,2.24,"25,932","66,645","63,533","59,384","58,088","3,112","4,149","1,297",60201103902,Legana,60201,Launceston,Launceston and North East,Rest of Tas.
WA,52660,Dardanup,Cardiovascular system,4.33,4.36,4.22,3.85,"15,370","66,552","67,013","64,861","59,175",461,"2,152","5,687",50102100507,Australind - Leschenault,50102,Bunbury,Bunbury,Rest of WA
SA,45890,Port Adelaide Enfiel,Blood and blood forming organs,0.49,0.49,0.48,0.48,"135,806","66,545","66,545","65,187","65,187",0,"1,358",0,40203103601,Enfield - Blair Athol,40203,Port Adelaide - East,Adelaide - North,Greater Adelaide
VIC,25250,Moreland,Sensory organs,0.38,0.37,0.36,0.38,"174,735","66,399","64,652","62,905","66,399","1,747","1,747","3,495",20601110601,Brunswick East,20601,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
VIC,22750,Greater Geelong,Antineoplastic and immunomodulating agents,0.24,0.24,0.24,0.24,"276,446","66,347","66,347","66,347","66,347",0,0,0,20302103701,Belmont,20302,Geelong,Geelong,Rest of Vic.
VIC,22750,Greater Geelong,Dermatologicals,0.24,0.24,0.25,0.25,"276,446","66,347","66,347","69,112","69,112",0,"2,764",0,20302103701,Belmont,20302,Geelong,Geelong,Rest of Vic.
VIC,20660,Banyule,Blood and blood forming organs,0.52,0.53,0.49,0.48,"127,348","66,221","67,494","62,401","61,127","1,273","5,094","1,273",20901119601,Bundoora - East,20901,Banyule,Melbourne - North East,Greater Melbourne
SA,45340,Onkaparinga,Sensory organs,0.37,0.37,0.34,0.35,"178,550","66,064","66,064","60,707","62,493",0,"5,356","1,785",40304107101,Aberfoyle Park,40304,Onkaparinga,Adelaide - South,Greater Adelaide
NSW,11720,Cessnock,Antiinfectives for systemic use,1,0.97,0.86,0.85,"65,878","65,878","63,902","56,655","55,996","1,976","7,247",659,10601110701,Branxton - Greta - Pokolbin,10601,Lower Hunter,Hunter Valley exc Newcastle,Rest of NSW
WA,57080,Perth,Cardiovascular system,2.16,2.23,2.14,2.02,"30,466","65,807","67,939","65,197","61,541","2,133","2,742","3,656",50301103522,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
TAS,60810,Central Coast (Tas.),Alimentary tract and metabolism,2.81,2.68,2.55,2.47,"23,345","65,599","62,565","59,530","57,662","3,035","3,035","1,868",60401107602,Burnie - Ulverstone Surrounds,60401,Burnie - Ulverstone,West and North West,Rest of Tas.
NSW,13550,Gunnedah,Cardiovascular system,4.98,4.93,4.88,4.89,"13,144","65,457","64,800","64,143","64,274",657,657,131,11004119901,Gunnedah,11004,Tamworth - Gunnedah,New England and North West,Rest of NSW
TAS,64010,Launceston,Antiinfectives for systemic use,0.91,0.9,0.82,0.75,"71,878","65,409","64,690","58,940","53,909",719,"5,750","5,031",60201103601,Invermay,60201,Launceston,Launceston and North East,Rest of Tas.
VIC,23670,Knox,Musculo-skeletal system,0.41,0.42,0.38,0.4,"159,465","65,381","66,975","60,597","63,786","1,595","6,379","3,189",21101125101,Bayswater,21101,Knox,Melbourne - Outer East,Greater Melbourne
NSW,18400,Wollondilly,Antiinfectives for systemic use,1.17,1.09,0.91,0.92,"55,801","65,287","60,823","50,779","51,337","4,464","10,044",558,10704114716,Helensburgh,10704,Wollongong,Illawarra,Rest of NSW
VIC,22310,Glen Eira,Blood and blood forming organs,0.43,0.43,0.43,0.39,"151,694","65,228","65,228","65,228","59,161",0,0,"6,068",20802117401,Bentleigh - McKinnon,20802,Glen Eira,Melbourne - Inner South,Greater Melbourne
NSW,14400,Kiama,Nervous system,2.84,2.79,2.7,2.7,"22,964","65,218","64,070","62,003","62,003","1,148","2,067",0,10703113801,Kiama,10703,Kiama - Shellharbour,Illawarra,Rest of NSW
SA,47140,Salisbury,Musculo-skeletal system,0.44,0.45,0.45,0.46,"147,932","65,090","66,569","66,569","68,049","1,479",0,"1,479",40202103020,Elizabeth,40202,Playford,Adelaide - North,Greater Adelaide
QLD,35760,North Burnett,Cardiovascular system,6.37,6.4,6.25,6.15,"10,216","65,076","65,382","63,850","62,828",306,"1,532","1,022",31902150301,Gayndah - Mundubbera,31902,Burnett,Wide Bay,Rest of Qld
WA,55110,Mandurah,Blood and blood forming organs,0.68,0.66,0.63,0.6,"95,568","64,986","63,075","60,208","57,341","1,911","2,867","2,867",50201102101,Dawesville - Bouvard,50201,Mandurah,Mandurah,Greater Perth
WA,55110,Mandurah,Musculo-skeletal system,0.68,0.66,0.66,0.65,"95,568","64,986","63,075","63,075","62,119","1,911",0,956,50201102101,Dawesville - Bouvard,50201,Mandurah,Mandurah,Greater Perth
NSW,15700,Nambucca Valley,Alimentary tract and metabolism,3.15,3.03,2.9,2.77,"20,610","64,922","62,448","59,769","57,090","2,473","2,679","2,679",10802115701,Macksville - Scotts Head,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
VIC,22170,Frankston,Musculo-skeletal system,0.46,0.45,0.44,0.45,"141,078","64,896","63,485","62,074","63,485","1,411","1,411","1,411",21401137001,Carrum Downs,21401,Frankston,Mornington Peninsula,Greater Melbourne
NSW,15750,Narrabri,Cardiovascular system,5.09,5.07,4.85,4.95,"12,721","64,750","64,495","61,697","62,969",254,"2,799","1,272",11003119701,Narrabri,11003,Moree - Narrabri,New England and North West,Rest of NSW
NT,72800,Palmerston,Nervous system,1.6,1.47,1.42,1.46,"40,414","64,662","59,409","57,388","59,004","5,254","2,021","1,617",70103103102,Howard Springs,70103,Litchfield,Darwin,Greater Darwin
NSW,14500,Ku-ring-gai,Sensory organs,0.52,0.5,0.49,0.49,"124,172","64,569","62,086","60,844","60,844","2,483","1,242",0,12103140701,Gordon - Killara,12103,Ku-ring-gai,Sydney - North Sydney and Hornsby,Greater Sydney
WA,54170,Joondalup,Genito urinary system and sex hormones,0.39,0.39,0.37,0.37,"165,509","64,549","64,549","61,238","61,238",0,"3,310",0,50501107001,Craigie - Beldon,50501,Joondalup,Perth - North West,Greater Perth
WA,57840,South Perth,Alimentary tract and metabolism,1.43,1.37,1.32,1.27,"45,137","64,546","61,838","59,581","57,324","2,708","2,257","2,257",50607114501,Como,50607,South Perth,Perth - South East,Greater Perth
WA,58890,Greater Geraldton,Cardiovascular system,4.43,4.33,4.2,4.18,"41,495","183,823","179,673","174,279","173,449","4,149","5,394",830,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
VIC,25340,Mornington Peninsula,"Systemic hormonal preparations, excl. sex hormones and insulins",0.38,0.39,0.35,0.33,"169,663","64,472","66,169","59,382","55,989","1,697","6,787","3,393",21402137701,Dromana,21402,Mornington Peninsula,Mornington Peninsula,Greater Melbourne
WA,58890,Greater Geraldton,Nervous system,3.39,3.24,3.15,3.17,"41,495","140,668","134,444","130,709","131,539","6,224","3,735",830,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
SA,48540,Whyalla,Alimentary tract and metabolism,2.94,2.88,2.83,2.79,"21,890","64,357","63,043","61,949","61,073","1,313","1,094",876,40601113601,Whyalla,40601,Eyre Peninsula and South West,South Australia - Outback,Rest of SA
QLD,31820,Bundaberg,Sensory organs,0.63,0.59,0.58,0.58,"102,076","64,308","60,225","59,204","59,204","4,083","1,021",0,31901149201,Ashfield - Kepnock,31901,Bundaberg,Wide Bay,Rest of Qld
NSW,16700,Ryde,Sensory organs,0.49,0.47,0.46,0.46,"131,122","64,250","61,627","60,316","60,316","2,622","1,311",0,12101139915,Chatswood (West) - Lane Cove North,12101,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney
WA,58890,Greater Geraldton,Alimentary tract and metabolism,2.15,2,1.93,1.95,"41,495","89,214","82,990","80,085","80,915","6,224","2,905",830,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Greater Geraldton,Antiinfectives for systemic use,0.86,0.81,0.78,0.79,"41,495","35,686","33,611","32,366","32,781","2,075","1,245",415,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,18250,Willoughby,Antiinfectives for systemic use,0.85,0.81,0.69,0.66,"75,473","64,152","61,133","52,076","49,812","3,019","9,057","2,264",12101139906,Chatswood (West) - Lane Cove North,12101,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,Greater Sydney
VIC,26260,Southern Grampians,Nervous system,3.91,3.78,3.93,3.91,"16,393","64,097","61,966","64,424","64,097","2,131","2,459",328,21701142101,Hamilton (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
WA,58890,Greater Geraldton,Blood and blood forming organs,0.51,0.49,0.48,0.48,"41,495","21,162","20,333","19,918","19,918",830,415,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,10600,Bellingen,Cardiovascular system,4.82,5.02,4.86,4.8,"13,262","63,923","66,575","64,453","63,658","2,652","2,122",796,10402108301,Bellingen,10402,Coffs Harbour,Coffs Harbour - Grafton,Rest of NSW
QLD,36250,Redland,Genito urinary system and sex hormones,0.39,0.39,0.39,0.38,"163,732","63,855","63,855","63,855","62,218",0,0,"1,637",30101100101,Alexandra Hills,30101,Capalaba,Brisbane - East,Greater Brisbane
WA,58890,Greater Geraldton,Respiratory system,0.5,0.52,0.53,0.54,"41,495","20,748","21,577","21,992","22,407",830,415,415,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Greater Geraldton,Musculo-skeletal system,0.48,0.48,0.47,0.47,"41,495","19,918","19,918","19,503","19,503",0,415,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,16550,Randwick,Sensory organs,0.47,0.46,0.46,0.47,"135,686","63,772","62,416","62,416","63,772","1,357",0,"1,357",11701132401,Port Botany Industrial,11701,Botany,Sydney - City and Inner South,Greater Sydney
SA,42030,Gawler,Alimentary tract and metabolism,2.44,2.28,2.19,2.07,"26,121","63,735","59,556","57,205","54,070","4,179","2,351","3,135",40201102506,Gawler - North,40201,Gawler - Two Wells,Adelaide - North,Greater Adelaide
QLD,34770,Mackay,Respiratory system,0.51,0.51,0.5,0.5,"124,963","63,731","63,731","62,482","62,482",0,"1,250",0,31202134201,Andergrove - Beaconsfield,31202,Mackay,Mackay - Isaac - Whitsunday,Rest of Qld
QLD,32310,Charters Towers,Cardiovascular system,5.31,5.24,5.12,5.07,"11,981","63,619","62,780","61,343","60,744",839,"1,438",599,31801146201,Charters Towers,31801,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld
QLD,31900,Burdekin,Nervous system,3.77,3.65,3.48,3.53,"16,869","63,596","61,572","58,704","59,548","2,024","2,868",843,31801146001,Ayr,31801,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld
WA,58890,Greater Geraldton,Genito urinary system and sex hormones,0.34,0.29,0.28,0.33,"41,495","14,108","12,034","11,619","13,693","2,075",415,"2,075",50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
VIC,23270,Hume,"Systemic hormonal preparations, excl. sex hormones and insulins",0.25,0.25,0.24,0.22,"252,987","63,247","63,247","60,717","55,657",0,"2,530","5,060",21001122805,Keilor,21001,Keilor,Melbourne - North West,Greater Melbourne
WA,58890,Greater Geraldton,Antineoplastic and immunomodulating agents,0.24,0.24,0.24,0.24,"41,495","9,959","9,959","9,959","9,959",0,0,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Greater Geraldton,Sensory organs,0.24,0.24,0.24,0.24,"41,495","9,959","9,959","9,959","9,959",0,0,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Greater Geraldton,"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.24,0.24,0.24,"41,495","9,959","9,959","9,959","9,959",0,0,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
TAS,65410,Waratah-Wynyard,Nervous system,4.29,4.13,4.01,3.98,"14,689","63,016","60,666","58,903","58,462","2,350","1,763",441,60401108101,Somerset,60401,Burnie - Ulverstone,West and North West,Rest of Tas.
VIC,25250,Moreland,Genito urinary system and sex hormones,0.36,0.33,0.3,0.28,"174,735","62,905","57,663","52,421","48,926","5,242","5,242","3,495",20601110601,Brunswick East,20601,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
VIC,25250,Moreland,Musculo-skeletal system,0.36,0.36,0.34,0.35,"174,735","62,905","62,905","59,410","61,157",0,"3,495","1,747",20601110601,Brunswick East,20601,Brunswick - Coburg,Melbourne - Inner,Greater Melbourne
VIC,23350,Indigo,Nervous system,3.61,3.5,3.49,3.41,"17,418","62,879","60,963","60,789","59,395","1,916",174,"1,393",20402106501,Rutherglen,20402,Wangaratta - Benalla,Hume,Rest of Vic.
WA,58890,Greater Geraldton,Dermatologicals,0.12,0.12,0.12,0.12,"41,495","4,979","4,979","4,979","4,979",0,0,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,58890,Greater Geraldton,"Antiparasitic products, insecticides and repellents",0,0,0,0,"41,495",0,0,0,0,0,0,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
VIC,20830,Baw Baw,Antiinfectives for systemic use,1.06,1.01,0.81,0.72,"59,248","62,803","59,840","47,991","42,659","2,962","11,850","5,332",20501107601,Drouin,20501,Baw Baw,Latrobe - Gippsland,Rest of Vic.
VIC,21450,Cardinia,Respiratory system,0.51,0.5,0.49,0.45,"123,104","62,783","61,552","60,321","55,397","1,231","1,231","4,924",21105127409,Belgrave - Selby,21105,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
VIC,25340,Mornington Peninsula,Genito urinary system and sex hormones,0.37,0.37,0.36,0.36,"169,663","62,775","62,775","61,079","61,079",0,"1,697",0,21402137701,Dromana,21402,Mornington Peninsula,Mornington Peninsula,Greater Melbourne
VIC,21110,Boroondara,Musculo-skeletal system,0.37,0.37,0.37,0.36,"169,500","62,715","62,715","62,715","61,020",0,0,"1,695",20701114601,Ashburton (Vic.),20701,Boroondara,Melbourne - Inner East,Greater Melbourne
VIC,21110,Boroondara,Respiratory system,0.37,0.4,0.36,0.34,"169,500","62,715","67,800","61,020","57,630","5,085","6,780","3,390",20701114601,Ashburton (Vic.),20701,Boroondara,Melbourne - Inner East,Greater Melbourne
SA,45040,Murray Bridge,Alimentary tract and metabolism,2.78,2.63,2.51,2.31,"22,538","62,656","59,275","56,570","52,063","3,381","2,705","4,508",40703116502,Murray Bridge,40703,Murray and Mallee,South Australia - South East,Rest of SA
VIC,20570,Ballarat,Blood and blood forming organs,0.54,0.5,0.49,0.49,"115,951","62,614","57,976","56,816","56,816","4,638","1,160",0,20101100101,Alfredton,20101,Ballarat,Ballarat,Rest of Vic.
TAS,61510,Derwent Valley,Cardiovascular system,5.57,5.67,5.47,5.47,"11,236","62,585","63,708","61,461","61,461","1,124","2,247",0,60103101303,Austins Ferry - Granton,60103,Hobart - North West,Hobart,Greater Hobart
WA,58890,Greater Geraldton,Various,0,0,0,0,"41,495",0,0,0,0,0,0,0,50903125013,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
VIC,22910,Hepburn,Nervous system,3.77,3.62,3.61,3.52,"16,567","62,458","59,973","59,807","58,316","2,485",166,"1,491",20102101001,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,Ballarat,Rest of Vic.
WA,58050,Swan,Respiratory system,0.38,0.39,0.38,0.37,"163,817","62,250","63,889","62,250","60,612","1,638","1,638","1,638",50401104801,Noranda,50401,Bayswater - Bassendean,Perth - North East,Greater Perth
